T,log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformity,squareroot_gldm_GrayLevelNonUniformity,log-sigma-1-0-mm-3D_glcm_ClusterShade,original_ngtdm_Complexity,squareroot_glcm_Correlation,log-sigma-1-0-mm-3D_ngtdm_Contrast,squareroot_glszm,original_glcm_InverseVariance,log-sigma-1-0-mm-3D_firstorder_Kurtosis,squareroot_glszm_LargeAreaHighGrayLevelEmphasis,squareroot_glrlm_GrayLevelNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,squareroot_ngtdm_Coarseness,log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,squareroot_glcm_SumEntropy
0,,,,,,,,,,,,,,,
1,16000.112124280384,13969.901181744091,-169.79246456825513,2553.802760958076,0.485438814217293,0.0094003385680455,,0.4174692040541399,19.64764815161369,288204682.70739067,9148.823163219584,0.4704081409061125,7.493713331022366e-05,363968080.7805279,4.63628727334741
2,16016.296818765208,14016.64763069042,-166.36655653817968,2533.210083429715,0.4881619873275621,0.0095735069911541,,0.4184385413461277,19.497090643513303,285740779.7118785,9139.041270107042,0.4694846143266486,7.621593600208967e-05,346135193.25483334,4.628775602484873
3,15956.236123687268,14157.39912970078,-161.63475599767477,2342.88433649167,0.4896020432688699,0.0096247560465183,,0.4166444541021666,19.45123811504864,305305299.032792,9075.698273919685,0.4775204066979657,7.68317202739879e-05,360160277.9245908,4.616629173215023
4,16090.044407114803,13962.736174176272,-156.49846332598474,2431.5301923212746,0.4904142897502664,0.0089783741667197,,0.4200498092677922,19.29762340254756,291391943.6063684,9149.290399695035,0.472944412622302,7.603282151917462e-05,351286895.56678987,4.63069681686656
5,16118.66213324644,14070.393395622308,-154.66592353553258,2318.366055021562,0.4905245759750329,0.0092067404046627,,0.4169353830208701,19.44556081036773,305451452.8533082,9050.349913353508,0.4779793329849147,7.700899263357846e-05,337633727.7882521,4.6198620112420965
6,16197.265700634509,13959.811925136804,-153.13384955237845,2573.2562497986114,0.4902882774102301,0.0091642420127886,,0.4172406579775091,19.505875901326338,293502924.8879694,9074.902606375395,0.4689088454788028,7.714849617188666e-05,332161153.26171875,4.625074586743245
7,16082.236172651306,14083.73719292118,-155.24450165871386,2570.2148880723744,0.4893280354412137,0.0096739383629197,,0.417036652033166,19.40493134564398,296227754.5027001,9065.953702217948,0.4843836017135369,7.70877901747836e-05,336917561.37042004,4.616532115415428
8,16128.903484996115,14116.650730585632,-157.84291020597033,2510.3333214905697,0.4871037948667997,0.0094765128755193,,0.4183857120128156,19.228260749674632,291246243.2643829,9164.031709899458,0.4805921124290647,7.58322437743206e-05,329269346.2946271,4.616289302866712
9,16048.359496130754,14147.35968971941,-159.27558510006827,2417.713678571526,0.4863655745895831,0.0095894305081137,,0.4155770361125652,19.11087368814273,302746702.7273427,9047.420171121095,0.4772469496546321,7.671295654451286e-05,312763252.49857926,4.615129888892404
10,16082.665397912791,13982.632640586797,-161.59377096926315,2445.0456609740345,0.4850275092679012,0.009828455822576,,0.4164137863032532,18.94129976760749,307442596.7302464,9035.231343741054,0.4697462022242628,7.671954152352052e-05,304084461.5890903,4.630223169825819
11,16072.545727634655,14003.028786820352,-159.20579214175507,2514.9842797111223,0.4855083098571399,0.0096262798081076,,0.4160014301863635,18.94642318512606,321411491.8632296,9011.06575200857,0.4773211753622434,7.674418316937262e-05,309923478.27353746,4.629513069178412
12,16127.460849387311,13829.242635929677,-157.06893102237834,2526.224373727385,0.4863300800633527,0.0091226171313335,,0.4182259167544725,18.865608155016524,308769527.8724031,9071.158233890048,0.4703767837934867,7.598377445786078e-05,324982309.2847192,4.64432488390165
13,16070.101808570342,13948.37043020142,-155.58678412116217,2587.4516006034496,0.4859451033368265,0.0093874260077024,,0.4158786375245158,18.909005958054323,311633974.2682889,9002.399894027938,0.4701218269599143,7.683024995847604e-05,334930803.8800036,4.633797813883338
14,16070.246452053783,13855.313191291189,-154.27420123219127,2593.8525456710063,0.4851212355335575,0.009769392701901,,0.4166939230135155,18.871153647443137,298564418.2070578,9045.048038063474,0.4625778712011146,7.677439200261797e-05,329457856.0592117,4.638932046414675
15,15938.236141189149,13907.921047269763,-154.71186397034506,2350.075081153384,0.4847672371917614,0.0097879327749024,,0.4144467665717231,18.743276823682987,312335415.1875435,8998.81975765933,0.4670585348347158,7.71144630348673e-05,334304359.4929264,4.630068861502275
